[14:11:29.433] [main-module:00F12121]: c6 04 07 00                         mov byte ptr [edi+eax*1], 0x0      
[14:11:29.433] [main-module:00F12125]: e2 f9                               loop 0xf12120                      
[14:11:29.433] [main-module:00F12127]: bf 20 c2 f2 00                      mov edi, 0xf2c220                  
[14:11:29.433] [main-module:00F1212C]: 66 b8 01 30                         mov ax, 0x3001                     
[14:11:29.433] [main-module:00F12130]: 66 ab                               stosw word ptr [edi]               
[14:11:29.433] [main-module:00F12132]: 8b 3d ac c1 f2 00                   mov edi, dword ptr [0xf2c1ac]      
[14:11:29.433] [main-module:00F12138]: 89 3d d4 c1 f2 00                   mov dword ptr [0xf2c1d4], edi      
[14:11:29.433] [main-module:00F1213E]: be 53 55 f2 00                      mov esi, 0xf25553                  
[14:11:29.433] [main-module:00F12143]: e8 10 f3 ff ff                      call 0xf11458                      
[14:11:29.433] [main-module:00F11458]: 8b 0d b0 c1 f2 00                   mov ecx, dword ptr [0xf2c1b0]      
[14:11:29.433] [main-module:00F1145E]: 29 f9                               sub ecx, edi                       
[14:11:29.433] [main-module:00F11460]: 81 f9 00 40 00 00                   cmp ecx, 0x4000                    
[14:11:29.433] [main-module:00F11466]: 76 05                               jbe 0xf1146d                       
[14:11:29.433] [main-module:00F11468]: b9 00 40 00 00                      mov ecx, 0x4000                    
[14:11:29.433] [main-module:00F1146D]: 51                                  push ecx                           
[14:11:29.433] [main-module:00F1146E]: 57                                  push edi                           
[14:11:29.433] [main-module:00F1146F]: 56                                  push esi                           
[14:11:29.433] [main-module:00F11470]: ff 15 44 40 f3 00                   call dword ptr [0xf34044]          
    [KERNEL32.DLL:GetEnvironmentVariableA_D22D1749] (00F25553: (TCHAR*)"INCLUDE", 0F830000: (TCHAR*)"", (DWORD)0x00004000)
